state,county,fips,adult_pop,observed_distress,loneliness_rate,access_to_exercise,social_associations_per_10k,air_pollution,uninsured,unemployment_rate,providers_per_100k,log_median_hh_income,rucc_category,mid,rural
NC,Vance,37181,"32,113",18.1,35.3,66.17736859,14.53553379,8.1,18.0171051,7.910786890000001,239.4216,10.726719568158678,mid,True,False
NC,New Hanover,37129,"197,058",16.3,32.1,95.08909979,9.2556199364,3.8,14.96761258,4.23522317,528.34275,11.100616994380056,metro,False,False
NC,Rowan,37159,"118,284",17.5,32.3,69.87846809,13.825046493,9.5,15.41150302,5.036620070000001,248.3969,10.940951123740335,metro,False,False
NC,Dare,37055,"31,485",14.2,28.5,70.76527157,14.648307455,6.1,16.04496444,5.9548673,192.98895,11.137242435146533,mid,True,False
NC,Wilkes,37193,"52,999",17.5,33.2,65.33371735,13.961759476,7.9,17.75516048,4.7084376400000005,235.54083,10.776682874304695,mid,True,False
NC,Moore,37125,"83,707",14.7,29.5,78.22355029,11.127022215,8.4,14.81137302,4.57159931,251.06313,11.147253021804348,metro,False,False
NC,Haywood,37087,"52,105",15.9,30.7,82.79727488,14.609667789,6.7,14.97261621,4.24066189,388.94936,10.855473559734737,mid,True,False
NC,Cabarrus,37025,"180,188",16.2,32.3,60.679173090000006,9.9783726674,9.5,14.02575401,4.38561293,295.74797,11.279074796512331,metro,False,False
NC,Carteret,37031,"58,070",14.7,29.1,83.55789971,12.651312574,5.8,13.70762875,4.11570195,175.07769,11.053204784521506,mid,True,False
NC,Alamance,37001,"139,859",17.2,33.4,81.63521279,10.038168384,8.3,17.8425858,4.7982323,169.08504,10.982696134328725,metro,False,False
NC,Swain,37173,"10,906",19.2,34.0,97.35071191,8.4632202553,7.2,28.68041483,4.50753695,325.4103,10.77557558173055,rural,False,True
NC,Stanly,37167,"51,434",17.6,32.4,76.72468961999999,16.60367811,9.0,15.50740844,4.36363636,222.30981000000003,10.95893134580286,mid,True,False
NC,Hoke,37093,"39,888",19.0,35.6,62.24031335,5.1943399606,7.9,18.97816697,6.44901249,180.74331,10.914142562445097,metro,False,False
NC,Richmond,37153,"32,370",19.1,34.4,39.85237275,15.113236488,8.2,18.80214421,7.317823730000001,231.71988,10.64917974375984,mid,True,False
NC,Mecklenburg,37119,"901,633",15.7,32.6,89.5756274,9.1944248834,9.5,14.93318675,4.89426304,365.50724,11.227081701792088,metro,False,False
NC,Henderson,37089,"97,324",14.9,28.9,83.22769842,10.468994048,7.2,18.00468137,4.06885759,245.65818,11.008479448168275,metro,False,False
NC,Wake,37183,"919,538",14.7,31.4,89.56676494999999,9.7768113817,10.2,11.39725267,3.97628957,368.10861,11.424727930228103,metro,False,False
NC,Hertford,37091,"15,694",18.2,35.5,52.01837416,13.848018002,7.3,14.811220889999998,6.52735384,234.98449,10.608093826184968,rural,False,True
NC,Scotland,37165,"26,528",19.7,36.8,63.603909400000006,11.548344256,7.8,18.34706049,9.50793079,201.59523,10.693307620356334,mid,True,False
NC,Guilford,37081,"430,053",16.8,33.8,90.87713075,11.007897936,6.8,14.73290429,5.61111547,320.97491,11.017234728788509,metro,False,False
NC,McDowell,37111,"36,301",17.4,32.1,71.71474718,14.197719628,7.2,16.05307563,4.50685826,201.26574,10.829253254772802,mid,True,False
NC,Transylvania,37175,"28,383",14.5,28.7,84.95119141,16.522696968,6.8,18.27566648,4.09190838,313.5836,11.03063870601066,mid,True,False
NC,Yancey,37199,"15,582",16.6,30.7,100.0,8.2877507045,6.3,17.178347809999998,4.29179179,223.9164,10.742875641568942,rural,False,True
NC,Orange,37135,"122,940",15.3,31.8,83.34924948,9.5252788827,8.5,10.0328372,3.45471522,744.20354,11.28745420664684,metro,False,False
NC,Gaston,37071,"184,354",17.4,33.2,75.87730266,12.711415557,9.5,15.68564012,5.1933864000000005,273.76373,10.933410495077377,metro,False,False
NC,Craven,37049,"80,675",16.7,33.9,73.1423749,12.248970197,6.5,15.973861950000002,4.6789374100000005,269.18569,10.961763839681364,mid,True,False
