state,county,fips,adult_pop,observed_distress,loneliness_rate,access_to_exercise,social_associations_per_10k,air_pollution,uninsured,unemployment_rate,providers_per_100k,log_median_hh_income,rucc_category,mid,rural
NC,Bertie,37015,"14,112",17.5,35.3,35.6306457,24.583155195,7.0,13.596302669999998,5.90031931,57.12654,10.628133400155445,rural,False,True
NC,Martin,37117,"17,125",17.5,34.6,55.34928056,15.33050771,7.0,14.8120111,5.53556922,105.72768,10.675006815282412,mid,True,False
NC,Edgecombe,37065,"37,653",18.2,34.8,67.87116564,11.607546873,7.7,14.29974536,8.534057259999999,70.30749,10.625149300994275,metro,False,False
NC,Hyde,37095,"3,922",17.2,32.7,52.47330573,8.2593433822,5.7,20.26633375,6.508206,22.18279,10.711747540196578,rural,False,True
NC,Cleveland,37045,"78,793",17.8,33.4,65.03280781000001,18.074418135,8.9,16.75597984,5.31814463,150.45985,10.799759233696244,mid,True,False
NC,Davie,37059,"35,409",15.8,31.4,66.83133545999999,10.626992561,9.2,15.950299500000002,4.27719821,75.80456000000001,11.115785605608052,metro,False,False
NC,Randolph,37151,"114,881",17.9,32.5,53.08765286,10.514883402,9.0,18.38615498,4.67696563,111.59177,10.952349215939682,metro,False,False
NC,Washington,37187,"8,617",17.7,34.3,63.18276834,20.026121027,6.4,15.76032226,6.92721741,119.35365,10.659186907753035,rural,False,True
NC,Duplin,37061,"37,683",17.3,33.6,30.49984604,9.1846106746,7.1,26.23465337,4.38115649,86.57116,10.717723410205611,rural,False,True
NC,Greene,37079,"16,688",18.7,35.6,25.299496360000003,7.6452599388,7.3,24.42690003,4.10081162,48.97879,10.66625407497613,rural,False,True
NC,Perquimans,37143,"10,937",15.9,31.4,22.21453287,9.5119631229,6.5,13.850027979999998,5.30679934,60.92917,10.89228497519703,rural,False,True
NC,Lincoln,37109,"76,148",16.2,31.3,62.30618592,12.145703032,9.3,14.7726201,4.07092166,78.06401,11.202575063017203,metro,False,False
NC,Cherokee,37039,"25,195",15.7,29.8,98.54382429,10.318852544,7.4,17.543512659999998,4.96601208,140.56982,10.696728905881372,rural,False,True
NC,Pamlico,37137,"10,683",15.0,30.5,57.60834148,11.797090051,6.0,16.45326504,4.28625378,97.21322,10.891764006182903,rural,False,True
NC,Ashe,37009,"22,627",16.2,30.6,57.47450803,8.8345726275,6.6,16.254721359999998,3.97177739,164.72614000000002,10.726587856343938,rural,False,True
NC,Jones,37103,"7,647",17.6,32.5,48.40819887,7.5675675676,6.4,19.804447850000003,4.23586041,54.02485,10.770924118192765,rural,False,True
NC,Columbus,37047,"39,774",18.3,34.4,39.26476108,8.2185776382,6.9,19.7214904,6.27678571,165.69512,10.626339155802404,mid,True,False
NC,Bladen,37017,"23,400",17.4,33.7,46.53448625,13.369390173,7.0,18.8494695,5.8074949,98.22185,10.654856470296195,rural,False,True
NC,Davidson,37057,"137,346",17.5,31.5,59.1067306,10.045262772,8.9,17.83231494,4.53654651,117.20787,10.886932132596671,metro,False,False
