state,county,fips,adult_pop,observed_distress,loneliness_rate,mh_providers,access_to_exercise,social_associations,air_pollution,uninsured,unemployment_rate,median_household_income,rucc_code
NC,Bertie,37015,"14,112",17.5,35.3,0.0005712654,0.356306457,24.583155195,7.0,0.1359630267,0.0590031931,41280,9
NC,Vance,37181,"32,113",18.1,35.3,0.002394216,0.6617736859,14.53553379,8.1,0.180171051,0.0791078689,45557,6
NC,New Hanover,37129,"197,058",16.3,32.1,0.0052834275,0.9508909979,9.2556199364,3.8,0.1496761258,0.0423522317,66212,2
NC,Martin,37117,"17,125",17.5,34.6,0.0010572768,0.5534928056,15.33050771,7.0,0.148120111,0.0553556922,43261,6
NC,Edgecombe,37065,"37,653",18.2,34.8,0.0007030749,0.6787116564,11.607546873,7.7,0.1429974536,0.0853405726,41157,3
NC,Hyde,37095,"3,922",17.2,32.7,0.0002218279,0.5247330573,8.2593433822,5.7,0.2026633375,0.06508206,44880,9
NC,Rowan,37159,"118,284",17.5,32.3,0.002483969,0.6987846809,13.825046493,9.5,0.1541150302,0.0503662007,56441,1
NC,Dare,37055,"31,485",14.2,28.5,0.0019298895,0.7076527157,14.648307455,6.1,0.1604496444,0.059548673,68682,4
NC,Wilkes,37193,"52,999",17.5,33.2,0.0023554083,0.6533371735,13.961759476,7.9,0.1775516048,0.0470843764,47891,6
NC,Moore,37125,"83,707",14.7,29.5,0.0025106313,0.7822355029,11.127022215,8.4,0.1481137302,0.0457159931,69373,3
NC,Cleveland,37045,"78,793",17.8,33.4,0.0015045985,0.6503280781,18.074418135,8.9,0.1675597984,0.0531814463,49009,4
NC,Haywood,37087,"52,105",15.9,30.7,0.0038894936,0.8279727488,14.609667789,6.7,0.1497261621,0.0424066189,51817,4
NC,Davie,37059,"35,409",15.8,31.4,0.0007580456,0.6683133546,10.626992561,9.2,0.159502995,0.0427719821,67224,2
NC,Randolph,37151,"114,881",17.9,32.5,0.0011159177,0.5308765286,10.514883402,9.0,0.1838615498,0.0467696563,57088,2
NC,Cabarrus,37025,"180,188",16.2,32.3,0.0029574797,0.6067917309,9.9783726674,9.5,0.1402575401,0.0438561293,79148,1
NC,Washington,37187,"8,617",17.7,34.3,0.0011935365,0.6318276834,20.026121027,6.4,0.1576032226,0.0692721741,42582,9
NC,Carteret,37031,"58,070",14.7,29.1,0.0017507769,0.8355789971,12.651312574,5.8,0.1370762875,0.0411570195,63146,4
NC,Duplin,37061,"37,683",17.3,33.6,0.0008657116,0.3049984604,9.1846106746,7.1,0.2623465337,0.0438115649,45149,8
NC,Alamance,37001,"139,859",17.2,33.4,0.0016908504,0.8163521279,10.038168384,8.3,0.178425858,0.047982323,58847,3
NC,Greene,37079,"16,688",18.7,35.6,0.0004897879,0.2529949636,7.6452599388,7.3,0.2442690003,0.0410081162,42884,8
